name,rarity,blueprintClass,critRatePercent,critDamagePercent,weakspotDamagePercent,itemId,href,imageSrc,imageAlt,rawText
DB12 - Raining Cash,Legendary,Juggernaut,8,28,20,13222301,https://wikily.gg/once-human/weapon-blueprints/13222301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfZHAxMl9zcl8wMy53ZWJw,DB12 - Raining Cash,"DB12 - Raining Cash
Legendary
|
Juggernaut
Crit Rate +8.0%
Crit DMG +28.0%
Weakspot DMG +20.0%"
DBSG - Doombringer,Legendary,Huntsman,10,30,25,13213401,https://wikily.gg/once-human/weapon-blueprints/13213401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfcm0xODg5X3Nzcl8wMi53ZWJw,DBSG - Doombringer,"DBSG - Doombringer
Legendary
|
Huntsman
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +25.0%"
DE.50 - Jaws,Legendary,Beyonder,6,25,60,13112301,https://wikily.gg/once-human/weapon-blueprints/13112301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfZGVzZXJ0ZWFnbGVfc3JfMDIud2VicA,DE.50 - Jaws,"DE.50 - Jaws
Legendary
|
Beyonder
Crit Rate +6.0%
Crit DMG +25.0%
Weakspot DMG +60.0%"
G17 - Hazardous Object,Legendary,Wanderer,8,28,55,13133401,https://wikily.gg/once-human/weapon-blueprints/13133401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9lcXVpcF9ibHVlcHJpbnRfcHRfZ2xvY2tfc3NyXzAyLndlYnA,G17 - Hazardous Object,"G17 - Hazardous Object
Legendary
|
Wanderer
Crit Rate +8.0%
Crit DMG +28.0%
Weakspot DMG +55.0%"
HAMR - Brahminy,Legendary,Operator,2,30,80,13532401,https://wikily.gg/once-human/weapon-blueprints/13532401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfbTgyX3NyXzAyLndlYnA,HAMR - Brahminy,"HAMR - Brahminy
Legendary
|
Operator
Crit Rate +2.0%
Crit DMG +30.0%
Weakspot DMG +80.0%"
KAM - Abyss Glance,Legendary,Stranger,6,30,55,13422301,https://wikily.gg/once-human/weapon-blueprints/13422301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfYWs0N19zcl8wMi53ZWJw,KAM - Abyss Glance,"KAM - Abyss Glance
Legendary
|
Stranger
Crit Rate +6.0%
Crit DMG +30.0%
Weakspot DMG +55.0%"
KV-SBR - Little Jaws,Legendary,Beyonder,10,30,45,13311301,https://wikily.gg/once-human/weapon-blueprints/13311301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3ZlY3Rvcl9zcl8wMS53ZWJw,KV-SBR - Little Jaws,"KV-SBR - Little Jaws
Legendary
|
Beyonder
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +45.0%"
KVD - Boom! Boom!,Legendary,Juggernaut,10,30,40,13631301,https://wikily.gg/once-human/weapon-blueprints/13631301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbG1nX3JwZF9zcl8wMS53ZWJw,KVD - Boom! Boom!,"KVD - Boom! Boom!
Legendary
|
Juggernaut
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +40.0%"
Kukri,Legendary,Wanderer,5,25,20,13910401,https://wikily.gg/once-human/weapon-blueprints/13910401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfc3Jfa2h1a3VyaV8wMS53ZWJw,Kukri,"Kukri
Legendary
|
Wanderer
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
M416 - Silent Anabasis,Legendary,Wanderer,6,27,60,13442301,https://wikily.gg/once-human/weapon-blueprints/13442301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfaGs0MTZfc3NyXzAyLndlYnA,M416 - Silent Anabasis,"M416 - Silent Anabasis
Legendary
|
Wanderer
Crit Rate +6.0%
Crit DMG +27.0%
Weakspot DMG +60.0%"
MG4 - Conflicting Memories,Legendary,Beyonder,8,30,35,13624301,https://wikily.gg/once-human/weapon-blueprints/13624301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbWc0X3Nzcl8wMS53ZWJw,MG4 - Conflicting Memories,"MG4 - Conflicting Memories
Legendary
|
Beyonder
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +35.0%"
MG4 - Predator,Legendary,Operator,8,30,35,13622301,https://wikily.gg/once-human/weapon-blueprints/13622301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbG1nX21nNF9zcl8wMi53ZWJw,MG4 - Predator,"MG4 - Predator
Legendary
|
Operator
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +35.0%"
MPS5 - Kumawink,Legendary,Stranger,8,30,55,13321301,https://wikily.gg/once-human/weapon-blueprints/13321301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX21wNV9zcl8wMS53ZWJw,MPS5 - Kumawink,"MPS5 - Kumawink
Legendary
|
Stranger
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +55.0%"
MPS5 - Primal Rage,Legendary,Juggernaut,8,30,55,13323401,https://wikily.gg/once-human/weapon-blueprints/13323401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9lcXVpcF9ibHVlcHJpbnRfc21nX21wNV9zc3JfMDIud2VicA,MPS5 - Primal Rage,"MPS5 - Primal Rage
Legendary
|
Juggernaut
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +55.0%"
MPS7 - Outer Space,Legendary,Stranger,8,30,50,13333401,https://wikily.gg/once-human/weapon-blueprints/13333401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX21wN19zc3JfMDMud2VicA,MPS7 - Outer Space,"MPS7 - Outer Space
Legendary
|
Stranger
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +50.0%"
P90 - Holographic Resonance,Legendary,Operator,8,45,30,13341496,https://wikily.gg/once-human/weapon-blueprints/13341496/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3A5MF9zc3JfMDEud2VicA,P90 - Holographic Resonance,"P90 - Holographic Resonance
Legendary
|
Operator
Crit Rate +8.0%
Crit DMG +45.0%
Weakspot DMG +30.0%"
PDW90 - Holographic Resonance,Legendary,Operator,8,45,30,13341401,https://wikily.gg/once-human/weapon-blueprints/13341401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3A5MF9zc3JfMDEud2VicA,PDW90 - Holographic Resonance,"PDW90 - Holographic Resonance
Legendary
|
Operator
Crit Rate +8.0%
Crit DMG +45.0%
Weakspot DMG +30.0%"
R500 - Memento,Legendary,Operator,4,25,65,13122301,https://wikily.gg/once-human/weapon-blueprints/13122301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfc3c1MDBfc3JfMDIud2VicA,R500 - Memento,"R500 - Memento
Legendary
|
Operator
Crit Rate +4.0%
Crit DMG +25.0%
Weakspot DMG +65.0%"
SKS - Pathfinder,Legendary,Wanderer,5,40,50,13551401,https://wikily.gg/once-human/weapon-blueprints/13551401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3Jfc2tzX3Nzcl8wMS53ZWJw,SKS - Pathfinder,"SKS - Pathfinder
Legendary
|
Wanderer
Crit Rate +5.0%
Crit DMG +40.0%
Weakspot DMG +50.0%"
SOCR - The Last Valor,Legendary,Beyonder,6,27,60,13411301,https://wikily.gg/once-human/weapon-blueprints/13411301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc2Nhcl9zcjEud2VicA,SOCR - The Last Valor,"SOCR - The Last Valor
Legendary
|
Beyonder
Crit Rate +6.0%
Crit DMG +27.0%
Weakspot DMG +60.0%"
Scourge,Legendary,Stranger,5,25,20,13931401,https://wikily.gg/once-human/weapon-blueprints/13931401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfc3NyX3JlZml0dGVkYXhlLndlYnA,Scourge,"Scourge
Legendary
|
Stranger
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
The Fabled Masamune,Legendary,Juggernaut,5,25,20,13911401,https://wikily.gg/once-human/weapon-blueprints/13911401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfc3NyX3RhY2hpXzAxLndlYnA,The Fabled Masamune,"The Fabled Masamune
Legendary
|
Juggernaut
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
AUG - Electron Cloud,Legendary,Unknown,10,25,60,13451401,https://wikily.gg/once-human/weapon-blueprints/13451401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfYXVnX3Nzcl8wMS53ZWJw,AUG - Electron Cloud,"AUG - Electron Cloud
Legendary
|
Unknown
Crit Rate +10.0%
Crit DMG +25.0%
Weakspot DMG +60.0%"
ACS12 - Netherworld,Epic,Wanderer,8,27,15,13233301,https://wikily.gg/once-human/weapon-blueprints/13233301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfYWExMl9zcl8wMy53ZWJw,ACS12 - Netherworld,"ACS12 - Netherworld
Epic
|
Wanderer
Crit Rate +8.0%
Crit DMG +27.0%
Weakspot DMG +15.0%"
AWS.338 - Black Panther,Epic,Huntsman,2,26,95,13521301,https://wikily.gg/once-human/weapon-blueprints/13521301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfYXdwX3NyXzAyLndlYnA,AWS.338 - Black Panther,"AWS.338 - Black Panther
Epic
|
Huntsman
Crit Rate +2.0%
Crit DMG +26.0%
Weakspot DMG +95.0%"
PDW90 Customize,Epic,Operator,,,50,13341199,https://wikily.gg/once-human/weapon-blueprints/13341199/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3A5MF9uLndlYnA,PDW90 Customize,"PDW90 Customize
Epic
|
Operator
Weakspot DMG +50.0%"
Crowbar,Epic,Operator,5,25,20,13921101,https://wikily.gg/once-human/weapon-blueprints/13921101/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9jcm93YmFyLndlYnA,Crowbar,"Crowbar
Epic
|
Operator
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
DB12 - Backfire,Epic,Beyonder,8,28,20,13221301,https://wikily.gg/once-human/weapon-blueprints/13221301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfZHAxMl9zcl8wMS53ZWJw,DB12 - Backfire,"DB12 - Backfire
Epic
|
Beyonder
Crit Rate +8.0%
Crit DMG +28.0%
Weakspot DMG +20.0%"
Dual Fury,Epic,Juggernaut,10,30,25,13211301,https://wikily.gg/once-human/weapon-blueprints/13211301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfcm0xODg5X3NyXzAxLndlYnA,Dual Fury,"Dual Fury
Epic
|
Juggernaut
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +25.0%"
DE.50 - Wildfire,Epic,Beyonder,6,25,60,13111301,https://wikily.gg/once-human/weapon-blueprints/13111301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfZGVzZXJ0ZWFnbGVfc3JfMDEud2VicA,DE.50 - Wildfire,"DE.50 - Wildfire
Epic
|
Beyonder
Crit Rate +6.0%
Crit DMG +25.0%
Weakspot DMG +60.0%"
Custom: EBR-14,Epic,Huntsman,,,75,13561199,https://wikily.gg/once-human/weapon-blueprints/13561199/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfbWsxNF9uXzAxLndlYnA,Custom: EBR-14,"Custom: EBR-14
Epic
|
Huntsman
Weakspot DMG +75.0%"
Flamethrower,Epic,Wanderer,10,30,15,13800401,https://wikily.gg/once-human/weapon-blueprints/13800401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc3JfZnRfMDEud2VicA,Flamethrower,"Flamethrower
Epic
|
Wanderer
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +15.0%"
Frozen Northern Pike,Epic,Huntsman,5,25,20,13914201,https://wikily.gg/once-human/weapon-blueprints/13914201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfZmlzaF9mLndlYnA,Frozen Northern Pike,"Frozen Northern Pike
Epic
|
Huntsman
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
G17 - Dusty,Epic,Operator,8,28,55,13131201,https://wikily.gg/once-human/weapon-blueprints/13131201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfZ2xvY2tfcl8wMS53ZWJw,G17 - Dusty,"G17 - Dusty
Epic
|
Operator
Crit Rate +8.0%
Crit DMG +28.0%
Weakspot DMG +55.0%"
R500 - Hammerhead Shark,Epic,Beyonder,4,25,65,13123301,https://wikily.gg/once-human/weapon-blueprints/13123301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfc3c1MDBfc3JfMDMud2VicA,R500 - Hammerhead Shark,"R500 - Hammerhead Shark
Epic
|
Beyonder
Crit Rate +4.0%
Crit DMG +25.0%
Weakspot DMG +65.0%"
KAM - Crank,Epic,Juggernaut,6,30,55,13421301,https://wikily.gg/once-human/weapon-blueprints/13421301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfYWs0N19zcjEud2VicA,KAM - Crank,"KAM - Crank
Epic
|
Juggernaut
Crit Rate +6.0%
Crit DMG +30.0%
Weakspot DMG +55.0%"
KV-SBR - Icy Rain,Epic,Operator,10,30,45,13311201,https://wikily.gg/once-human/weapon-blueprints/13311201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3ZlY3Rvcl9yXzAxLndlYnA,KV-SBR - Icy Rain,"KV-SBR - Icy Rain
Epic
|
Operator
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +45.0%"
Long Axe,Epic,Juggernaut,5,25,20,13931301,https://wikily.gg/once-human/weapon-blueprints/13931301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9heGUud2VicA,Long Axe,"Long Axe
Epic
|
Juggernaut
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
M416 - Autumn Equinox,Epic,Beyonder,6,27,60,13441301,https://wikily.gg/once-human/weapon-blueprints/13441301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfaGs0MTZfc3Iud2VicA,M416 - Autumn Equinox,"M416 - Autumn Equinox
Epic
|
Beyonder
Crit Rate +6.0%
Crit DMG +27.0%
Weakspot DMG +60.0%"
MG4 - Mr. Squid,Epic,Wanderer,8,30,35,13623301,https://wikily.gg/once-human/weapon-blueprints/13623301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbG1nX21nNF9zcl8wMy53ZWJw,MG4 - Mr. Squid,"MG4 - Mr. Squid
Epic
|
Wanderer
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +35.0%"
MG4 - Wrath Of Hades,Epic,Juggernaut,8,30,35,13621301,https://wikily.gg/once-human/weapon-blueprints/13621301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbWc0X3NyLndlYnA,MG4 - Wrath Of Hades,"MG4 - Wrath Of Hades
Epic
|
Juggernaut
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +35.0%"
MGL,Epic,Wanderer,4,30,35,13820401,https://wikily.gg/once-human/weapon-blueprints/13820401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc3NyX2dsXzAxLndlYnA,MGL,"MGL
Epic
|
Wanderer
Crit Rate +4.0%
Crit DMG +30.0%
Weakspot DMG +35.0%"
MPS7 - Div-Evo,Epic,Stranger,8,30,50,13331301,https://wikily.gg/once-human/weapon-blueprints/13331301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX21wN19zcl8wMS53ZWJw,MPS7 - Div-Evo,"MPS7 - Div-Evo
Epic
|
Stranger
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +50.0%"
